date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:37	384564/384564	---M--	200	added ('OK')	image/png	etag:%2260560d64-5de34%22	https://dispatch.me/wp-content/uploads/2021/03/Taylor-K-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Taylor-K-500x500.png	(from https://dispatch.me/about/team/)
21:47:37	264795/264795	---M--	200	added ('OK')	image/png	etag:%2260560d54-40a5b%22	https://dispatch.me/wp-content/uploads/2021/03/Ronny-A-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Ronny-A-500x500.png	(from https://dispatch.me/about/team/)
21:47:38	353994/353994	---M--	200	added ('OK')	image/png	etag:%225e2795d3-566ca%22	https://dispatch.me/wp-content/uploads/2020/01/Ronny-Almog-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Ronny-Almog-500x500.png	(from https://dispatch.me/about/team/)
21:47:38	275115/275115	---M--	200	added ('OK')	image/png	etag:%2260560d03-432ab%22	https://dispatch.me/wp-content/uploads/2021/03/Justin-D-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Justin-D-500x500.png	(from https://dispatch.me/about/team/)
21:47:38	301455/301455	---M--	200	added ('OK')	image/png	etag:%2260560cd0-4998f%22	https://dispatch.me/wp-content/uploads/2021/03/David-L-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/David-L-500x500.png	(from https://dispatch.me/about/team/)
21:47:40	321568/321568	---M--	200	added ('OK')	image/png	etag:%2260560d19-4e820%22	https://dispatch.me/wp-content/uploads/2021/03/Lauren-P-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Lauren-P-500x500.png	(from https://dispatch.me/about/team/)
21:47:40	389370/389370	---M--	200	added ('OK')	image/png	etag:%2260560ce4-5f0fa%22	https://dispatch.me/wp-content/uploads/2021/03/Ian-G-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Ian-G-500x500.png	(from https://dispatch.me/about/team/)
21:47:40	291220/291220	---M--	200	added ('OK')	image/png	etag:%2260560d29-47194%22	https://dispatch.me/wp-content/uploads/2021/03/Matt-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Matt-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:40	235866/235866	---M--	200	added ('OK')	image/png	etag:%2260560d38-3995a%22	https://dispatch.me/wp-content/uploads/2021/03/Mikey-P-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Mikey-P-500x500.png	(from https://dispatch.me/about/team/)
21:47:41	348993/348993	---M--	200	added ('OK')	image/png	etag:%225e2795d3-55341%22	https://dispatch.me/wp-content/uploads/2020/01/Michael-Price-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Michael-Price-500x500.png	(from https://dispatch.me/about/team/)
21:47:41	341765/341765	---M--	200	added ('OK')	image/png	etag:%226154cdcc-53705%22	https://dispatch.me/wp-content/uploads/2021/09/Ben-C-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/09/Ben-C-500x500.png	(from https://dispatch.me/about/team/)
21:47:41	296025/296025	---M--	200	added ('OK')	image/png	etag:%226154ce6b-48459%22	https://dispatch.me/wp-content/uploads/2021/09/Glen-K-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/09/Glen-K-500x500.png	(from https://dispatch.me/about/team/)
21:47:41	289437/289437	---M--	200	added ('OK')	image/png	etag:%2260560ce8-46a9d%22	https://dispatch.me/wp-content/uploads/2021/03/Jackie-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Jackie-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:42	240828/240828	---M--	200	added ('OK')	image/png	etag:%226061fc98-3acbc%22	https://dispatch.me/wp-content/uploads/2021/03/Nic-C-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Nic-C-500x500.png	(from https://dispatch.me/about/team/)
21:47:43	430146/430146	---M--	200	added ('OK')	image/png	etag:%2260560d48-69042%22	https://dispatch.me/wp-content/uploads/2021/03/Patrick-D-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Patrick-D-500x500.png	(from https://dispatch.me/about/team/)
21:47:44	242610/242610	---M--	200	added ('OK')	image/png	etag:%2260560d21-3b3b2%22	https://dispatch.me/wp-content/uploads/2021/03/Manali-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Manali-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:44	219954/219954	---M--	200	added ('OK')	image/png	etag:%226158d3de-35b32%22	https://dispatch.me/wp-content/uploads/2021/10/Bailey-W-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/10/Bailey-W-500x500.png	(from https://dispatch.me/about/team/)
21:47:44	327100/327100	---M--	200	added ('OK')	image/png	etag:%22605608c7-4fdbc%22	https://dispatch.me/wp-content/uploads/2021/03/Ben-B-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Ben-B-500x500.png	(from https://dispatch.me/about/team/)
